transaction_id,user_id,risk_tier,transaction_amount,transaction_date,merchant_id,has_cbk,account_cards,account_tx,account_cbk_rate
21323127,34548,C - watchlist,241.1,2019-11-12T21:47:21.506873,33192,False,6,6,0.0
21323058,34548,C - watchlist,30.37,2019-11-15T15:42:57.017945,33192,False,6,6,0.0
21322795,34548,C - watchlist,204.43,2019-11-18T18:55:00.623996,33192,False,6,6,0.0
21322578,34548,C - watchlist,455.27,2019-11-21T15:42:08.588252,33192,False,6,6,0.0
21321908,34548,C - watchlist,325.54,2019-11-23T17:22:18.582230,33192,False,6,6,0.0
21321630,34548,C - watchlist,633.06,2019-11-26T11:34:02.112442,33192,False,6,6,0.0
21322818,67245,C - watchlist,20.4,2019-11-18T17:26:28.550985,704,False,5,5,0.0
21321157,67245,C - watchlist,1257.51,2019-11-28T23:55:39.206551,704,False,5,5,0.0
21321146,67245,C - watchlist,1010.73,2019-11-29T00:19:53.781982,704,False,5,5,0.0
21321004,67245,C - watchlist,966.1,2019-11-29T16:31:39.121491,704,False,5,5,0.0
21320940,67245,C - watchlist,251.23,2019-11-29T18:40:00.043724,704,False,5,5,0.0
21323527,18205,C - watchlist,462.26,2019-11-03T19:36:49.781828,828,False,4,4,0.0
21323051,18205,C - watchlist,661.0,2019-11-15T18:23:56.472822,828,False,4,4,0.0
21322682,10241,C - watchlist,139.56,2019-11-19T21:46:13.468939,68953,False,4,5,0.2
21322157,10241,C - watchlist,1522.16,2019-11-22T20:47:14.403260,68953,False,4,5,0.2
21321585,10241,C - watchlist,2037.67,2019-11-26T16:09:11.834294,68953,False,4,5,0.2
21321449,10241,C - watchlist,867.03,2019-11-27T22:56:46.461595,68953,False,4,5,0.2
21321086,7281,C - watchlist,10.82,2019-11-29T13:08:17.941398,38901,False,4,4,0.25
21321078,18205,C - watchlist,1554.33,2019-11-29T13:28:00.910495,41032,False,4,4,0.0
21320917,18205,C - watchlist,216.25,2019-11-29T19:36:39.858281,828,False,4,4,0.0
21320886,7281,C - watchlist,50.76,2019-11-29T20:55:26.353097,38901,False,4,4,0.25
21320866,7281,C - watchlist,334.78,2019-11-29T21:53:48.336287,38901,True,4,4,0.25
21320864,7281,C - watchlist,286.52,2019-11-29T22:06:23.490913,38901,False,4,4,0.25
21320659,23204,C - watchlist,898.01,2019-11-30T17:37:13.322109,5753,False,4,4,0.0
21320654,23204,C - watchlist,968.03,2019-11-30T18:00:35.399667,5753,False,4,4,0.0
21320637,23204,C - watchlist,1083.22,2019-11-30T18:48:37.256590,5753,False,4,4,0.0
21320625,23204,C - watchlist,306.83,2019-11-30T19:06:07.467380,5753,False,4,4,0.0
21320441,10241,C - watchlist,2507.78,2019-12-01T18:30:00.099776,68953,True,4,5,0.2
21322637,68468,C - watchlist,670.31,2019-11-20T18:10:21.387609,72386,False,3,3,0.0
21322457,27939,C - watchlist,1177.96,2019-11-21T23:10:35.607471,38388,False,3,3,0.0
21322253,27939,C - watchlist,1332.5,2019-11-22T17:45:34.036470,38388,False,3,3,0.0
21322186,27939,C - watchlist,3066.53,2019-11-22T19:40:00.092535,38388,False,3,3,0.0
21322084,13001,C - watchlist,10.77,2019-11-23T00:21:30.841042,68380,False,3,4,0.0
21322038,13001,C - watchlist,10.91,2019-11-23T11:49:06.217784,68380,False,3,4,0.0
21322036,13001,C - watchlist,10.55,2019-11-23T11:53:17.948760,68380,False,3,4,0.0
21321754,81594,C - watchlist,10.21,2019-11-23T23:51:08.438314,60526,False,3,3,0.0
21321732,63952,C - watchlist,316.16,2019-11-24T01:15:48.924927,26981,False,3,3,0.0
21321544,63952,C - watchlist,217.36,2019-11-26T21:20:29.275019,26981,False,3,3,0.0
21321528,81594,C - watchlist,20.19,2019-11-26T23:22:20.617334,60526,False,3,3,0.0
21321444,81594,C - watchlist,70.41,2019-11-27T23:50:25.619157,60526,False,3,3,0.0
21321402,63952,C - watchlist,255.37,2019-11-28T13:41:37.286584,26981,False,3,3,0.0
21321227,68468,C - watchlist,1012.49,2019-11-28T20:34:38.861675,72386,False,3,3,0.0
21320903,13001,C - watchlist,501.49,2019-11-29T20:07:38.909268,68380,False,3,4,0.0
21320605,68468,C - watchlist,752.42,2019-11-30T19:54:46.906289,72386,False,3,3,0.0
21323440,2866,C - watchlist,314.51,2019-11-06T00:01:37.721034,43078,False,2,3,0.0
21323213,2866,C - watchlist,168.38,2019-11-10T23:36:22.541413,43078,False,2,3,0.0
21323212,2866,C - watchlist,165.82,2019-11-10T23:42:41.103589,43078,False,2,3,0.0
21323195,49106,C - watchlist,3921.55,2019-11-11T15:50:26.701473,36929,False,2,7,0.0
21323192,49106,C - watchlist,4024.23,2019-11-11T16:01:07.627302,36929,False,2,7,0.0
21323190,49106,C - watchlist,4031.43,2019-11-11T16:22:19.646575,36929,False,2,7,0.0
21323189,49106,C - watchlist,4043.43,2019-11-11T16:22:55.617237,36929,False,2,7,0.0
21323178,49106,C - watchlist,3906.52,2019-11-11T17:54:27.781391,36929,False,2,7,0.0
21323174,49106,C - watchlist,4077.07,2019-11-11T18:26:42.237228,36929,False,2,7,0.0
21323167,49106,C - watchlist,1583.22,2019-11-11T19:31:25.367741,36929,False,2,7,0.0
21323154,57594,C - watchlist,2771.39,2019-11-11T23:14:56.480571,17348,False,2,3,0.333
21323153,57594,C - watchlist,2821.35,2019-11-11T23:20:43.945517,17348,False,2,3,0.333
21322787,57594,C - watchlist,1049.4,2019-11-18T19:33:50.108326,53041,True,2,3,0.333
21320865,6538,C - watchlist,50.12,2019-11-29T22:03:22.842522,5404,False,2,3,0.0
21320853,6538,C - watchlist,1268.19,2019-11-29T22:52:27.632595,5404,False,2,3,0.0
21320568,6538,C - watchlist,1369.99,2019-11-30T22:00:08.747242,5404,False,2,3,0.0
21323594,84486,C - watchlist,1.55,2019-11-01T10:23:50.555604,57997,False,1,3,0.0
21323533,24027,C - watchlist,2079.92,2019-11-03T17:02:15.187624,8942,True,1,1,1.0
21323513,62541,C - watchlist,28.47,2019-11-04T10:31:04.670986,32901,False,1,3,0.0
21323512,62541,C - watchlist,64.71,2019-11-04T11:20:41.526957,32901,False,1,3,0.0
21323511,62541,C - watchlist,65.35,2019-11-04T11:22:22.321651,32901,False,1,3,0.0
21323461,40779,C - watchlist,3013.12,2019-11-05T11:46:41.782101,30121,False,1,6,0.0
21323459,40779,C - watchlist,3197.53,2019-11-05T11:51:43.675010,30121,False,1,6,0.0
21323443,40779,C - watchlist,3111.74,2019-11-05T21:34:31.558877,30121,False,1,6,0.0
21323442,40779,C - watchlist,1866.69,2019-11-05T21:43:55.930462,30121,False,1,6,0.0
21323415,69973,C - watchlist,2507.5,2019-11-07T17:12:11.440166,70899,True,1,1,1.0
21323310,40595,C - watchlist,3919.96,2019-11-09T13:52:53.348890,49919,True,1,1,1.0
21323277,11858,C - watchlist,3988.01,2019-11-09T20:48:27.593417,49919,True,1,1,1.0
21323230,13793,C - watchlist,3958.51,2019-11-10T17:51:38.541924,91972,True,1,1,1.0
21323221,70457,C - watchlist,3942.48,2019-11-10T19:47:06.354966,49919,True,1,1,1.0
21323156,60263,C - watchlist,2143.25,2019-11-11T22:53:19.276847,91972,True,1,1,1.0
21323152,50699,C - watchlist,4023.15,2019-11-11T23:40:04.336819,23017,True,1,1,1.0
21323043,43913,C - watchlist,3924.63,2019-11-15T19:55:21.008422,49919,True,1,1,1.0
21323032,8761,C - watchlist,3986.64,2019-11-15T23:02:24.682530,91972,True,1,1,1.0
21323012,97150,C - watchlist,154.16,2019-11-16T13:23:56.928792,11973,True,1,1,1.0
21322965,84486,C - watchlist,1.22,2019-11-17T08:40:43.924601,57997,False,1,3,0.0
21322948,31561,C - watchlist,4091.83,2019-11-17T14:15:08.661810,17304,False,1,3,0.0
21322855,84486,C - watchlist,1.92,2019-11-18T14:39:31.744189,57997,False,1,3,0.0
21322846,31561,C - watchlist,4007.9,2019-11-18T15:17:29.431258,17304,False,1,3,0.0
21322721,27987,C - watchlist,571.76,2019-11-19T15:43:10.164444,45399,True,1,1,1.0
21322700,38734,C - watchlist,1806.62,2019-11-19T19:11:31.225458,7535,True,1,1,1.0
21322671,85897,C - watchlist,2526.02,2019-11-19T23:32:33.929594,94053,True,1,1,1.0
21322654,96972,C - watchlist,3015.83,2019-11-20T14:36:14.706005,91972,True,1,1,1.0
21322652,96576,C - watchlist,579.72,2019-11-20T15:01:03.308491,74450,True,1,1,1.0
21322638,95855,C - watchlist,351.24,2019-11-20T17:46:44.568691,31960,False,1,3,0.0
21322633,58709,C - watchlist,2738.67,2019-11-20T20:26:36.531384,65330,True,1,1,1.0
21322605,95855,C - watchlist,219.58,2019-11-21T12:17:27.563977,31960,False,1,3,0.0
21322576,81642,C - watchlist,303.71,2019-11-21T16:00:42.788308,54572,True,1,1,1.0
21322557,61415,C - watchlist,1856.42,2019-11-21T17:23:32.384281,81894,True,1,1,1.0
21322552,31561,C - watchlist,2463.69,2019-11-21T17:49:45.526805,17304,False,1,3,0.0
21322540,39334,C - watchlist,3583.84,2019-11-21T18:28:03.574360,9292,True,1,1,1.0
21322494,33071,C - watchlist,203.12,2019-11-21T20:54:03.801266,77233,False,1,3,0.0
21322477,83826,C - watchlist,563.26,2019-11-21T21:47:28.826656,25199,True,1,1,1.0
21322455,38890,C - watchlist,4017.96,2019-11-21T23:18:13.542494,91972,True,1,1,1.0
21322438,19199,C - watchlist,10.87,2019-11-22T00:12:21.333674,1017,True,1,1,1.0
21322415,43108,C - watchlist,980.74,2019-11-22T02:34:32.822771,96692,True,1,1,1.0
21322351,45031,C - watchlist,249.0,2019-11-22T14:23:13.949391,84902,True,1,1,1.0
21322245,17507,C - watchlist,608.0,2019-11-22T17:56:43.858222,38337,True,1,1,1.0
21322198,900,C - watchlist,1346.26,2019-11-22T19:15:41.109970,53041,True,1,1,1.0
21322180,84071,C - watchlist,920.95,2019-11-22T20:04:23.291757,36700,True,1,1,1.0
21322177,70465,C - watchlist,2128.87,2019-11-22T20:11:09.101066,53041,True,1,1,1.0
21322104,61047,C - watchlist,1047.06,2019-11-22T22:56:40.232704,8787,True,1,1,1.0
21322098,16644,C - watchlist,4055.58,2019-11-22T23:19:26.928824,36700,True,1,1,1.0
21322078,23916,C - watchlist,1754.77,2019-11-23T00:54:00.547394,35917,True,1,1,1.0
21322073,41281,C - watchlist,1908.33,2019-11-23T01:23:41.829542,35917,True,1,1,1.0
21321939,99876,C - watchlist,1421.2,2019-11-23T16:13:33.495480,91972,True,1,1,1.0
21321834,96976,C - watchlist,456.48,2019-11-23T19:45:42.937911,1175,True,1,1,1.0
21321824,62888,C - watchlist,3834.38,2019-11-23T20:01:51.148115,62613,True,1,1,1.0
21321757,57127,C - watchlist,2033.08,2019-11-23T23:44:58.211409,65241,True,1,1,1.0
21321622,95855,C - watchlist,50.59,2019-11-26T13:04:22.965738,31960,False,1,3,0.0
21321610,85612,C - watchlist,556.91,2019-11-26T14:11:59.129077,90035,True,1,1,1.0
21321575,4744,C - watchlist,636.78,2019-11-26T16:28:28.926404,94198,True,1,1,1.0
21321553,12756,C - watchlist,3923.44,2019-11-26T19:19:35.233639,12745,True,1,1,1.0
21321546,89064,C - watchlist,1817.96,2019-11-26T20:33:48.238780,67075,True,1,1,1.0
21321460,86219,C - watchlist,1847.38,2019-11-27T21:05:09.346817,3109,True,1,1,1.0
21321458,79237,C - watchlist,2443.76,2019-11-27T21:18:20.456385,73922,True,1,1,1.0
21321450,88553,C - watchlist,285.31,2019-11-27T22:43:01.987617,80155,False,1,4,0.0
21321345,77959,C - watchlist,2.41,2019-11-28T16:24:08.604218,78660,False,1,7,0.0
21321340,77959,C - watchlist,2.06,2019-11-28T16:40:36.133265,78660,False,1,7,0.0
21321336,8743,C - watchlist,2628.88,2019-11-28T16:48:27.892193,73205,True,1,1,1.0
21321329,19440,C - watchlist,514.42,2019-11-28T17:12:36.104908,73271,True,1,1,1.0
21321325,77999,C - watchlist,3259.04,2019-11-28T17:21:42.715158,73205,True,1,1,1.0
21321212,63582,C - watchlist,1331.14,2019-11-28T21:22:46.856797,46609,True,1,1,1.0
21321197,67845,C - watchlist,361.8,2019-11-28T21:53:28.516198,21281,True,1,1,1.0
21321167,66643,C - watchlist,995.33,2019-11-28T23:33:53.662442,5252,True,1,1,1.0
21321131,9669,C - watchlist,763.74,2019-11-29T02:03:27.402231,97291,False,1,3,0.0
21321130,9669,C - watchlist,490.43,2019-11-29T02:07:27.052206,97291,False,1,3,0.0
21321128,9669,C - watchlist,512.07,2019-11-29T02:23:37.732934,97291,False,1,3,0.0
21321095,99760,C - watchlist,370.13,2019-11-29T12:27:52.287451,88463,False,1,3,0.0
21321091,99760,C - watchlist,33.47,2019-11-29T12:50:00.689179,88463,False,1,3,0.0
21321043,68191,C - watchlist,2761.74,2019-11-29T15:00:18.450044,18768,True,1,1,1.0
21321028,88553,C - watchlist,254.95,2019-11-29T15:33:58.565067,80155,False,1,4,0.0
21321027,88553,C - watchlist,280.52,2019-11-29T15:35:24.506721,80155,False,1,4,0.0
21321026,88553,C - watchlist,151.64,2019-11-29T15:36:16.283879,80155,False,1,4,0.0
21320980,76837,C - watchlist,50.64,2019-11-29T17:16:19.911006,63050,False,1,4,0.0
21320977,76837,C - watchlist,595.31,2019-11-29T17:24:30.826899,63050,False,1,4,0.0
21320965,79462,C - watchlist,386.02,2019-11-29T17:48:19.608950,83982,True,1,1,1.0
21320962,76837,C - watchlist,1517.72,2019-11-29T17:50:10.933425,63050,False,1,4,0.0
21320947,76837,C - watchlist,50.32,2019-11-29T18:26:22.897517,63050,False,1,4,0.0
21320845,93679,C - watchlist,585.05,2019-11-29T23:21:10.170616,23531,True,1,1,1.0
21320843,77959,C - watchlist,2.48,2019-11-29T23:25:21.924074,93520,False,1,7,0.0
21320796,77959,C - watchlist,2.07,2019-11-30T02:48:47.509852,93520,False,1,7,0.0
21320778,90144,C - watchlist,3526.9,2019-11-30T12:17:45.241665,73205,True,1,1,1.0
21320733,74844,C - watchlist,3718.81,2019-11-30T14:53:16.446024,4694,True,1,1,1.0
21320697,59418,C - watchlist,3003.4,2019-11-30T16:24:44.920225,63050,True,1,1,1.0
21320694,33071,C - watchlist,213.24,2019-11-30T16:39:26.564944,77233,False,1,3,0.0
21320680,95694,C - watchlist,10.47,2019-11-30T17:04:23.464464,83142,True,1,1,1.0
21320620,44494,C - watchlist,2566.07,2019-11-30T19:16:55.206186,99644,True,1,1,1.0
21320581,80769,C - watchlist,50.66,2019-11-30T21:16:30.129423,92215,True,1,1,1.0
21320574,50734,C - watchlist,1604.12,2019-11-30T21:37:43.190637,83142,True,1,1,1.0
21320569,43018,C - watchlist,79.85,2019-11-30T21:59:49.310022,11570,True,1,1,1.0
21320560,31867,C - watchlist,3989.27,2019-11-30T22:32:48.490482,5404,True,1,1,1.0
21320557,45420,C - watchlist,300.58,2019-11-30T22:52:30.687712,5533,True,1,1,1.0
21320556,73867,C - watchlist,319.53,2019-11-30T22:53:39.140902,5533,True,1,1,1.0
21320542,74585,C - watchlist,98.27,2019-12-01T01:37:58.725121,42356,False,1,4,0.0
21320541,9005,C - watchlist,80.45,2019-12-01T01:49:35.507757,27220,False,1,3,0.0
21320540,3157,C - watchlist,183.73,2019-12-01T01:50:22.799457,62194,True,1,1,1.0
21320539,74585,C - watchlist,591.58,2019-12-01T01:50:36.735006,42356,False,1,4,0.0
21320531,74585,C - watchlist,342.65,2019-12-01T04:31:50.887374,42356,False,1,4,0.0
21320529,77959,C - watchlist,2.34,2019-12-01T10:59:39.973715,93520,False,1,7,0.0
21320528,77959,C - watchlist,2.75,2019-12-01T11:00:12.687222,93520,False,1,7,0.0
21320527,77959,C - watchlist,2.0,2019-12-01T11:00:36.196460,93520,False,1,7,0.0
21320494,40779,C - watchlist,3076.06,2019-12-01T14:06:58.203861,28172,False,1,6,0.0
21320490,40779,C - watchlist,3097.55,2019-12-01T14:24:08.775683,30121,False,1,6,0.0
21320486,9005,C - watchlist,40.93,2019-12-01T14:45:02.706762,27220,False,1,3,0.0
21320480,99760,C - watchlist,72.16,2019-12-01T15:01:51.945130,88463,False,1,3,0.0
21320458,74585,C - watchlist,98.08,2019-12-01T16:46:00.609623,42356,False,1,4,0.0
21320450,9005,C - watchlist,70.58,2019-12-01T17:19:03.850675,27220,False,1,3,0.0
21320435,33071,C - watchlist,38.79,2019-12-01T18:50:49.945124,77233,False,1,3,0.0
21322189,11750,B - block,506.11,2019-11-22T19:39:12.379371,17275,True,31,31,0.806
21321874,11750,B - block,529.86,2019-11-23T18:35:42.143054,17275,True,31,31,0.806
21321796,11750,B - block,619.63,2019-11-23T21:08:28.644798,17275,True,31,31,0.806
21321713,11750,B - block,10.46,2019-11-24T21:09:30.443875,17275,False,31,31,0.806
